NumberOfBins,TypeOfCrime,PredictedOctoberError,BaselineOctoberError,SpecificConditionsVsAllCrimesOctoberError
20,0,0.00148557878533,0.000749573680651,0.000660113329877
20,1,0.00865007491147,0.00215411927759,0.00508999475362
20,2,0.00112685088969,0.000558359550682,0.00281585095725
20,3,0.000791431877998,0.000458972980828,0.000588817872497
20,4,0.000699254179981,0.000600275216444,0.00132489062272
20,5,0.0011858889464,0.00110671606271,0.0028683522509
40,0,0.000540399074254,0.000476550030037,0.000307102352887
40,1,0.00193288793596,0.00155598238066,0.000919315772998
40,2,0.000516753765285,0.000502982494984,0.000730786948935
40,3,0.000400767417077,0.000371414109766,0.000260338791249
40,4,0.000648365681603,0.000653201658829,0.000747879030472
40,5,0.00097636709862,0.000945030610645,0.00122898549807
60,0,0.000482793441409,0.000425931632458,0.000284580449277
60,1,0.00159843199506,0.00128705213367,0.000689406052261
60,2,0.000555201947787,0.000543651876841,0.000500910309708
60,3,0.000425012019232,0.000402677578688,0.00022471527678
60,4,0.000530226028992,0.000530991895343,0.000587153541853
60,5,0.00102271620972,0.000968929541226,0.000877328686698
100,0,0.000375022212797,0.000348920444755,0.000207013626502
100,1,0.00154021754948,0.00128946002935,0.00041664520773
100,2,0.000520537150256,0.000510668160144,0.000300454226661
100,3,0.000427833868767,0.00041234967261,0.000177947425822
100,4,0.000529325239858,0.000521855370628,0.0004805591713
100,5,0.000916101775093,0.000821799369353,0.00058381082552
