NumberOfBins,Day,PredictedOctoberError,BaselineOctoberError,SpecificConditionsVsAllCrimesOctoberError
20,0,0.000645449360753,0.000495649323537,0.000456135812162
20,1,0.000710302161652,0.000585537771853,0.000393693941695
20,2,0.000872704082761,0.000701841734406,0.000446989602801
20,3,0.000982065964369,0.000736279315156,0.000414568735492
20,4,0.000893981817885,0.000745038819346,0.000407445361594
20,5,0.000738364407429,0.000519181360383,0.000434272621811
20,6,0.00067972814781,0.000388244320578,0.000533657802794
40,0,0.000533138786455,0.000519945554551,0.000204313310454
40,1,0.000567729856009,0.000546672310377,0.000191971777821
40,2,0.00063890614085,0.000625194675749,0.000194985746049
40,3,0.000697467141512,0.000673853826207,0.00017230427544
40,4,0.000632769887281,0.000631543922951,0.000177705593382
40,5,0.000447844008916,0.000435982094992,0.000200546710941
40,6,0.000494579715096,0.000478889801579,0.000227676260187
60,0,0.0004987183489,0.000488259052609,0.000183455305746
60,1,0.000565656716424,0.000544437153116,0.000172916310564
60,2,0.000655600552197,0.000635956044224,0.000177895015424
60,3,0.0006142087899,0.000590421339922,0.000164321785298
60,4,0.000617041472292,0.000607345000252,0.00016475049756
60,5,0.000475543126946,0.000455379139617,0.000179160144303
60,6,0.000466871570006,0.000449015761066,0.000213135085422
100,0,0.000457517271178,0.000445518904969,0.000151696015459
100,1,0.000549319656282,0.000534887876852,0.000140971598223
100,2,0.000642621965916,0.000630098229298,0.000143961801447
100,3,0.00060685766284,0.0005909676836,0.000134892546943
100,4,0.000571071471379,0.000563202088175,0.000134456251438
100,5,0.000454084705562,0.000442539160863,0.00014117418323
100,6,0.000477902625808,0.000465799637117,0.000163451717105
